id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
429,Geography,Year 4,,,,,Volcanoes and Earthquakes,Map references and co-ordinates,,,,,,,,Recounts/ arguments,Appreciate the natural world,,,,,,,
430,Geography,Year 4,,,,,,,Volcanoes and Earthquakes,Map references and co-ordinates,,,,,,Recounts/ arguments,Working co-operatively,,,,,,,
431,Geography,Year 4,,,,,,,,,Land use – mapping the River Nile,Graphs,,,,Descriptive writing,Opportunities to be inquisitive,,,,,,,
432,Geography,Year 4,,,,,,,,,,,Land use – mapping the River Nile,Graphs,,Descriptive writing,Appreciate the natural world,,,,,,,
433,Geography,Year 5,Map skills,Co-ordinates – increasing grid reference,,,,,,,,,,,,See above,Working co-operatively,,,,,,,
434,Geography,Year 5,,,Map skills,Co-ordinates – increasing grid reference,,,,,,,,,,See above,Opportunities to be inquisitive,,,,,,,
435,Geography,Year 5,,,,,Climate change,Analysing data/ information,,,,,,,,See above,Appreciate the natural world,,,,,,,
436,Geography,Year 5,,,,,,,Climate change,Analysing data/ information,,,,,,See above,Working co-operatively,,,,,,,
437,Geography,Year 5,,,,,,,,,"Environmental quality survey (analysis of land, local school/ area)",Number and place value – numbers into millions,,,,See above,Opportunities to be inquisitive,,,,,,,
438,Geography,Year 5,,,,,,,,,,,"Environmental quality survey (analysis of land, local school/ area)",Number and place value – numbers into millions,,See above,Appreciate the natural world,,,,,,,
439,Geography,Year 6,"Locate Americas, central and south.",Understanding language of size and quantity,,,,,,,,,,,,Comparing and contrasting – writing comparisons,Working co-operatively,,,,,,,
440,Geography,Year 6,,,"Locate Americas, central and south.",Understanding language of size and quantity,,,,,,,,,,Comparing and contrasting – writing comparisons,Opportunities to be inquisitive,,,,,,,
441,Geography,Year 6,,,,,Human and physical features linked to History,Six figure grid references,,,,,,,,Descriptive writing,Appreciate the natural world,,,,,,,
442,Geography,Year 6,,,,,,,Human and physical features linked to History,Six figure grid references,,,,,,Descriptive writing,Working co-operatively,,,,,,,
443,Geography,Year 6,,,,,,,,,Fieldwork – locate and describe using maps/digital mapping,Number and place value – numbers into millions,,,,Information writing,Opportunities to be inquisitive,,,,,,,
444,Geography,Year 6,,,,,,,,,,,Fieldwork – locate and describe using maps/digital mapping,Number and place value – numbers into millions,,Information writing,Appreciate the natural world,,,,,,,
445,Geography,Year 7,What is Geography? Physical and Human Geography,"Geographical vocabulary: source, stream, tributary, estuary, river bank, river bed.",,,,,,,,,,,,Place names must be written with a capital letter to begin.,"Nations, cultural identity and heritage.",,,,,,,
446,Geography,Year 7,,,"Our Place in the World, The British Isles, UK and GB. Review seven continents and five oceans.",Water conservation.,,,,,,,,,,"Geographical vocabulary: evaporation, condense, precipitation, surface runoff, infiltration, throughflow, groundwater, watertable, impermeable, reservoir, sewage.",Social responsibility.,,,,,,,
447,Geography,Year 7,,,,,"Rivers and Flooding, Describe journey of a river, from source to sea. UK and wider world rivers. How rivers affect physical features, flooding.","Climate change, social responsibility to look after our planet.",,,,,,,,"Geographical vocabulary: glacier, ice age, ice sheet, tundra, iceberg, crevasse, erode, transport, deposit, meltwater, glacial landform.","Climate change, drought and flooding.",,,,,,,
448,Geography,Year 7,,,,,,,"Water Cycle, How water reaches our rivers. Our water supply.",Appreciation for what’s under students’ feet.,,,,,,"Geographical vocabulary: rock, mineral, crystal, granite, basalt, slate, quartz, mudstone, limestone, sandstone, feldspar, limestone, magma, lava, sedimentary, igneous, metamorphic, fossils.",Appreciate the natural world.,,,,,,,
449,Geography,Year 7,,,,,,,,,"Glaciers, Describe what and where glaciers are, how they affect physical features (erosion, transportation and deposition). Climate change.",Rich vs poor.,,,,"Geographical vocabulary: population, population density, slum, biomes, desert, plateau, highlands, savanna, rainforest","Ethnic groups, languages and diversity.",,,,,,,
